OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
44,Polygon ZM,"1,745",Madagascar,CI Madagascar,S0002,MADAGASCAR_CleanInput,0.5959,0.006408,0.000001
45,Polygon ZM,"1,746",Madagascar,CI Madagascar,S0003,MADAGASCAR_CleanInput,1.0498,0.004708,0.000001
46,Polygon ZM,"1,747",Madagascar,CI Madagascar,S0004,MADAGASCAR_CleanInput,0.3475,0.004382,0
47,Polygon ZM,"1,748",Madagascar,CI Madagascar,S0005,MADAGASCAR_CleanInput,12.5078,0.021804,0.000011
48,Polygon ZM,"1,749",Madagascar,CI Madagascar,S0006,MADAGASCAR_CleanInput,22.9258,0.027784,0.00002
49,Polygon ZM,"1,750",Madagascar,CI Madagascar,S0007,MADAGASCAR_CleanInput,22.5742,0.023815,0.000019
50,Polygon ZM,"1,751",Madagascar,CI Madagascar,S0008,MADAGASCAR_CleanInput,1.0363,0.00583,0.000001
51,Polygon ZM,"1,752",Madagascar,CI Madagascar,S0009,MADAGASCAR_CleanInput,5.2422,0.011276,0.000004
52,Polygon ZM,"1,753",Madagascar,CI Madagascar,S0010,MADAGASCAR_CleanInput,0.6568,0.005264,0.000001
53,Polygon ZM,"1,754",Madagascar,CI Madagascar,S0011,MADAGASCAR_CleanInput,0.2227,0.002694,0
54,Polygon ZM,"1,755",Madagascar,CI Madagascar,S0012,MADAGASCAR_CleanInput,0.0836,0.001076,0
55,Polygon ZM,"1,756",Madagascar,CI Madagascar,S0013,MADAGASCAR_CleanInput,0.2819,0.002301,0
56,Polygon ZM,"1,757",Madagascar,CI Madagascar,S0014,MADAGASCAR_CleanInput,0.5471,0.002897,0
57,Polygon ZM,"1,758",Madagascar,CI Madagascar,S0015,MADAGASCAR_CleanInput,110.1108,0.09191,0.000094
58,Polygon ZM,"1,759",Madagascar,CI Madagascar,S0016,MADAGASCAR_CleanInput,1.8016,0.007743,0.000002
59,Polygon ZM,"1,760",Madagascar,CI Madagascar,S0017,MADAGASCAR_CleanInput,8.9881,0.012046,0.000008
60,Polygon ZM,"1,761",Madagascar,CI Madagascar,S0018,MADAGASCAR_CleanInput,15.935,0.025417,0.000014
61,Polygon ZM,"1,762",Madagascar,CI Madagascar,S0019,MADAGASCAR_CleanInput,18.8551,0.017856,0.000016
62,Polygon ZM,"1,763",Madagascar,CI Madagascar,S0020,MADAGASCAR_CleanInput,32.3463,0.071663,0.000028
63,Polygon ZM,"1,764",Madagascar,CI Madagascar,S0021,MADAGASCAR_CleanInput,5.1081,0.020919,0.000004
64,Polygon ZM,"1,765",Madagascar,CI Madagascar,S0022,MADAGASCAR_CleanInput,3.8665,0.012043,0.000003
65,Polygon ZM,"1,766",Madagascar,CI Madagascar,S0023,MADAGASCAR_CleanInput,9.3185,0.021731,0.000008
66,Polygon ZM,"1,767",Madagascar,CI Madagascar,S0024,MADAGASCAR_CleanInput,0.1311,0.001416,0
67,Polygon ZM,"1,768",Madagascar,CI Madagascar,S0025,MADAGASCAR_CleanInput,2.9426,0.008834,0.000003
68,Polygon ZM,"1,769",Madagascar,CI Madagascar,S0026,MADAGASCAR_CleanInput,0.3154,0.002402,0
69,Polygon ZM,"1,770",Madagascar,CI Madagascar,S0027,MADAGASCAR_CleanInput,4.8369,0.015072,0.000004
70,Polygon ZM,"1,771",Madagascar,CI Madagascar,S0028,MADAGASCAR_CleanInput,1.4527,0.005974,0.000001
71,Polygon ZM,"1,772",Madagascar,CI Madagascar,S0029,MADAGASCAR_CleanInput,2.9635,0.019118,0.000003
72,Polygon ZM,"1,773",Madagascar,CI Madagascar,S0030,MADAGASCAR_CleanInput,12.372,0.016659,0.000011
73,Polygon ZM,"1,774",Madagascar,CI Madagascar,S0031,MADAGASCAR_CleanInput,2.541,0.006517,0.000002
74,Polygon ZM,"1,775",Madagascar,CI Madagascar,S0032,MADAGASCAR_CleanInput,2.9782,0.006391,0.000003
